NUMERO,MUNICIPIO,CONCEPTO,MONTO,BANCO,CLABE ,CUENTA  RAMO 28,CLC,TIPO,PROGRAMA
358,SANTA ANA TLAPACOYAN,1A QUINCENA ENERO FMP 2014,"40,201.60",BANORTE,072610002151571040, 0897686402,0002,CLC,FFM
369,SANTA CATARINA QUIANE,1A QUINCENA ENERO FMP 2014,"31,016.85",BANORTE,072610002121546526, 0897686402,0002,CLC,FFM
375,SANTA CRUZ AMILPAS,1A QUINCENA ENERO FMP 2014,"109,157.40",HSBC,021633040570220140, 0897686402,0002,CLC,FFM
389,SANTA INES YATZECHE,1A QUINCENA ENERO FMP 2014,"34,333.70",BANAMEX,002640700672999980, 0897686402,0002,CLC,FFM
392,SANTA LUCIA MONTE VERDE,1A QUINCENA ENERO FMP 2014,"57,130.20",BANORTE,072613008983562257, 0897686402,0002,CLC,FFM
394,SANTA MARIA ALOTEPEC,1A QUINCENA ENERO FMP 2014,"19,481.80",BANCOMER,012610001948951180, 0897686402,0002,CLC,FFM
398,AYOQUEZCO DE ALDAMA,1A QUINCENA ENERO FMP 2014,"61,243.95",BANAMEX,002640700664705616, 0897686402,0002,CLC,FFM
400,SANTA MARIA CAMOTLAN,1A QUINCENA ENERO FMP 2014,"26,356.20",BANORTE,072614002125486536, 0897686402,0002,CLC,FFM
401,SANTA MARIA COLOTEPEC,1A QUINCENA ENERO FMP 2014,"192,985.45",BANORTE,072624002118094239, 0897686402,0002,CLC,FFM
403,SANTA MARIA COYOTEPEC,1A QUINCENA ENERO FMP 2014,"42,066.15",BANORTE,072640002141842241, 0897686402,0002,CLC,FFM
413,SANTA MARIA HUATULCO,1A QUINCENA ENERO FMP 2014,"1,178,267.65",BANAMEX,002634700512622378, 0897686402,0002,CLC,FFM
415,SANTA MARIA IPALAPA,1A QUINCENA ENERO FMP 2014,"26,976.90",BANORTE,072623002156554046, 0897686402,0002,CLC,FFM
421,SANTA MARIA MIXTEQUILLA,1A QUINCENA ENERO FMP 2014,"83,359.85",BANORTE,072617002157524793, 0897686402,0002,CLC,FFM
427,SANTA MARIA PETAPA,1A QUINCENA ENERO FMP 2014,"74,705.55",BANORTE,072620002098649423, 0897686402,0002,CLC,FFM
434,SANTA MARIA TEOPOXCO,1A QUINCENA ENERO FMP 2014,"33,725.90",BANORTE,072610002121546610, 0897686402,0002,CLC,FFM
446,SANTA MARIA YUCUHITI,1A QUINCENA ENERO FMP 2014,"45,919.75",BANORTE,072613008983561863, 0897686402,0002,CLC,FFM
453,SANTIAGO ASTATA,1A QUINCENA ENERO FMP 2014,"17,048.10",BANORTE,072626002139005205, 0897686402,0002,CLC,FFM
466,SANTIAGO IXTAYUTLA,1A QUINCENA ENERO FMP 2014,"41,351.60",SANTANDER,014623655041712942, 0897686402,0002,CLC,FFM
472,SANTIAGO LAOLLAGA,1A QUINCENA ENERO FMP 2014,"90,111.80",BANORTE,072617002157552655, 0897686402,0002,CLC,FFM
486,VILLA TEJUPAM DE LA UNION,1A QUINCENA ENERO FMP 2014,"102,380.05",BANORTE,072614002125485058, 0897686402,0002,CLC,FFM
488,SANTIAGO TEPETLAPA,1A QUINCENA ENERO FMP 2014,"19,796.50",BANCOMER,012611001948780868, 0897686402,0002,CLC,FFM
502,SANTIAGO ZACATEPEC,1A QUINCENA ENERO FMP 2014,"31,026.30",BANORTE,072640002139369587, 0897686402,0002,CLC,FFM
508,SANTO DOMINGO CHIHUITAN,1A QUINCENA ENERO FMP 2014,"16,065.05",BANORTE,072617002157539995, 0897686402,0002,CLC,FFM
511,SANTO DOMINGO NUXAA,1A QUINCENA ENERO FMP 2014,"42,522.05",BANAMEX,002610700736520209, 0897686402,0002,CLC,FFM
513,SANTO DOMINGO PETAPA,1A QUINCENA ENERO FMP 2014,"40,260.20",BANAMEX,002627700384199091, 0897686402,0002,CLC,FFM
515,SANTO DOMINGO TEHUANTEPEC,1A QUINCENA ENERO FMP 2014,"574,079.60",BANORTE,072626002140079945, 0897686402,0002,CLC,FFM
519,SANTO DOMINGO TOMALTEPEC,1A QUINCENA ENERO FMP 2014,"38,060.25",BANORTE,072610008931713844, 0897686402,0002,CLC,FFM
525,SANTO DOMINGO ZANATEPEC,1A QUINCENA ENERO FMP 2014,"93,256.20",BANAMEX,002631700549386305, 0897686402,0002,CLC,FFM
554,TOTONTEPEC VILLA DE MORELOS,1A QUINCENA ENERO FMP 2014,"58,306.55",BANORTE,072640002139368915, 0897686402,0002,CLC,FFM
555,TRINIDAD DE ZAACHILA,1A QUINCENA ENERO FMP 2014,"38,264.25",BANORTE,072640002141842607, 0897686402,0002,CLC,FFM
565,VILLA DE ZAACHILA,1A QUINCENA ENERO FMP 2014,"339,404.80",BANORTE,072610002134016344, 0897686402,0002,CLC,FFM
566,SAN MATEO YUCUTINDO,1A QUINCENA ENERO FMP 2014,"28,127.60",BANORTE,072640002141841941, 0897686402,0002,CLC,FFM
568,ZAPOTITLAN PALMAS,1A QUINCENA ENERO FMP 2014,"29,748.40",BANORTE,072614002125483720, 0897686402,0002,CLC,FFM
,,,"18,499,864.65",,,,,,
